,TIME,inflation
9,2020-09,0.9037256
4,2020-04,0.5692774
26,2020-02,1.426354
120,2021-12,8.6
125,2020-05,-0.915837
16,2021-04,1.232539
10,2020-10,0.74428
118,2021-10,6.8
60,2020-12,-0.2835539
67,2021-07,3.770028
98,2020-02,4.7
110,2021-02,2.4
97,2020-01,4.3
114,2021-06,4.4
0,TIME,inflation
65,2021-05,2.54717
28,2020-04,0.326233
40,2021-04,1.243305
85,2021-01,0.3887269
24,2021-12,5.708284
25,2020-01,1.485293
23,2021-11,5.636762
80,2020-08,-0.4830918
68,2021-08,3.867924
44,2021-08,1.865068
15,2021-03,0.8947321
96,2021-12,3.898635
39,2021-03,1.109093
56,2020-08,0
22,2021-10,4.159066
64,2021-04,1.979265
81,2020-09,-0.5830904
134,2021-02,-0.01649076
47,2021-11,2.778574
30,2020-06,0.2008032
89,2021-05,1.264591
132,2020-12,-0.5321318
33,2020-09,0.04784689
82,2020-10,-0.2918288
93,2021-09,2.541544
62,2021-02,1.325758
95,2021-11,3.710938
119,2021-11,7.8
53,2020-05,0.5692599
5,2020-05,0.4773708
86,2021-02,0.5836576
143,2021-11,5.516243
49,2020-01,1.740812
35,2020-11,0.2009185
77,2020-05,-0.1941748
34,2020-10,0.04786521
104,2020-08,2.9
7,2020-07,0.7342144
43,2021-07,1.150299
70,2021-10,4.532578
113,2021-05,4.7
83,2020-11,-0.1949318
124,2020-04,-0.7168899
131,2020-11,-0.8149378
8,2020-08,0.8169635
13,2021-01,0.2552648
109,2021-01,2.6
115,2021-07,5
3,2020-03,0.6247129
17,2021-05,1.461855
38,2021-02,0.5644313
72,2021-12,5.308057
137,2021-05,2.717201
6,2020-06,0.5970423
138,2021-06,2.732454
2,2020-02,1.096572
123,2020-03,-0.01758578
54,2020-06,0.8514664
50,2020-02,1.734104
105,2020-09,3.2
46,2021-10,2.621759
141,2021-09,4.007239
61,2021-01,1.045627
142,2021-10,5.366842
79,2020-07,-0.3879728
122,2020-02,0.730897
91,2021-07,1.94742
41,2021-05,1.422978
58,2020-10,-0.1885014
90,2021-06,1.263363
48,2021-12,2.75343
88,2021-04,1.067961
127,2020-07,-0.6198964
21,2021-09,2.860537
57,2020-09,-0.1886792
75,2020-03,0.09727626
32,2020-08,0.2193401
139,2021-07,2.881537
59,2020-11,-0.2849003
63,2021-03,1.702933
129,2020-09,-0.3698781
37,2021-01,0.5548115
29,2020-05,0.3642289
107,2020-11,3
135,2021-03,1.341928
1,2020-01,1.405195
52,2020-04,0.8555133
130,2020-10,-0.8091754
103,2020-07,3
99,2020-03,4.6
116,2021-08,5.5
87,2021-03,0.7774538
74,2020-02,0.2926829
121,2020-01,1.096945
144,2021-12,6.549901
20,2021-08,2.731494
71,2021-11,5.238095
106,2020-10,3.1
14,2021-02,0.455747
92,2021-08,2.038835
102,2020-06,3.3
