home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year
Qatar,Ecuador,,,,,,,,,,,,,,,,2022-11-20,,,,,Qatar,2022
England,IR Iran,,,,,,,,,,,,,,,,2022-11-21,,,,,Qatar,2022
United States,Wales,,,,,,,,,,,,,,,,2022-11-21,,,,,Qatar,2022
Senegal,Netherlands,,,,,,,,,,,,,,,,2022-11-21,,,,,Qatar,2022
France,Australia,,,,,,,,,,,,,,,,2022-11-22,,,,,Qatar,2022
Mexico,Poland,,,,,,,,,,,,,,,,2022-11-22,,,,,Qatar,2022
Denmark,Tunisia,,,,,,,,,,,,,,,,2022-11-22,,,,,Qatar,2022
Argentina,Saudi Arabia,,,,,,,,,,,,,,,,2022-11-22,,,,,Qatar,2022
Belgium,Canada,,,,,,,,,,,,,,,,2022-11-23,,,,,Qatar,2022
Spain,Costa Rica,,,,,,,,,,,,,,,,2022-11-23,,,,,Qatar,2022
Germany,Japan,,,,,,,,,,,,,,,,2022-11-23,,,,,Qatar,2022
Morocco,Croatia,,,,,,,,,,,,,,,,2022-11-23,,,,,Qatar,2022
Switzerland,Cameroon,,,,,,,,,,,,,,,,2022-11-24,,,,,Qatar,2022
Uruguay,Korea Republic,,,,,,,,,,,,,,,,2022-11-24,,,,,Qatar,2022
Portugal,Ghana,,,,,,,,,,,,,,,,2022-11-24,,,,,Qatar,2022
Brazil,Serbia,,,,,,,,,,,,,,,,2022-11-24,,,,,Qatar,2022
England,United States,,,,,,,,,,,,,,,,2022-11-25,,,,,Qatar,2022
Netherlands,Ecuador,,,,,,,,,,,,,,,,2022-11-25,,,,,Qatar,2022
Qatar,Senegal,,,,,,,,,,,,,,,,2022-11-25,,,,,Qatar,2022
Wales,IR Iran,,,,,,,,,,,,,,,,2022-11-25,,,,,Qatar,2022
Tunisia,Australia,,,,,,,,,,,,,,,,2022-11-26,,,,,Qatar,2022
Argentina,Mexico,,,,,,,,,,,,,,,,2022-11-26,,,,,Qatar,2022
France,Denmark,,,,,,,,,,,,,,,,2022-11-26,,,,,Qatar,2022
Poland,Saudi Arabia,,,,,,,,,,,,,,,,2022-11-26,,,,,Qatar,2022
Spain,Germany,,,,,,,,,,,,,,,,2022-11-27,,,,,Qatar,2022
Belgium,Morocco,,,,,,,,,,,,,,,,2022-11-27,,,,,Qatar,2022
Japan,Costa Rica,,,,,,,,,,,,,,,,2022-11-27,,,,,Qatar,2022
Croatia,Canada,,,,,,,,,,,,,,,,2022-11-27,,,,,Qatar,2022
Portugal,Uruguay,,,,,,,,,,,,,,,,2022-11-28,,,,,Qatar,2022
Brazil,Switzerland,,,,,,,,,,,,,,,,2022-11-28,,,,,Qatar,2022
Korea Republic,Ghana,,,,,,,,,,,,,,,,2022-11-28,,,,,Qatar,2022
Cameroon,Serbia,,,,,,,,,,,,,,,,2022-11-28,,,,,Qatar,2022
IR Iran,United States,,,,,,,,,,,,,,,,2022-11-29,,,,,Qatar,2022
Wales,England,,,,,,,,,,,,,,,,2022-11-29,,,,,Qatar,2022
Ecuador,Senegal,,,,,,,,,,,,,,,,2022-11-29,,,,,Qatar,2022
Netherlands,Qatar,,,,,,,,,,,,,,,,2022-11-29,,,,,Qatar,2022
Tunisia,France,,,,,,,,,,,,,,,,2022-11-30,,,,,Qatar,2022
Saudi Arabia,Mexico,,,,,,,,,,,,,,,,2022-11-30,,,,,Qatar,2022
Poland,Argentina,,,,,,,,,,,,,,,,2022-11-30,,,,,Qatar,2022
Australia,Denmark,,,,,,,,,,,,,,,,2022-11-30,,,,,Qatar,2022
Costa Rica,Germany,,,,,,,,,,,,,,,,2022-12-01,,,,,Qatar,2022
Japan,Spain,,,,,,,,,,,,,,,,2022-12-01,,,,,Qatar,2022
Croatia,Belgium,,,,,,,,,,,,,,,,2022-12-01,,,,,Qatar,2022
Canada,Morocco,,,,,,,,,,,,,,,,2022-12-01,,,,,Qatar,2022
Cameroon,Brazil,,,,,,,,,,,,,,,,2022-12-02,,,,,Qatar,2022
Serbia,Switzerland,,,,,,,,,,,,,,,,2022-12-02,,,,,Qatar,2022
Ghana,Uruguay,,,,,,,,,,,,,,,,2022-12-02,,,,,Qatar,2022
Korea Republic,Portugal,,,,,,,,,,,,,,,,2022-12-02,,,,,Qatar,2022
